skills,experience,cgpa,projects,score
"embedded systems, python, machine learning, verilog, vlsi design",3.3,7.44,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design",3.5,9.64,signal analyzer,100.0
"embedded systems, python, machine learning, iot",1.5,8.02,wireless communication model,100.0
"embedded systems, python, machine learning, verilog, c programming",4.8,9.99,wireless communication model,100.0
"embedded systems, verilog",1.8,7.86,image processing system,100.0
"python, verilog, embedded systems",1.6,7.66,wireless communication model,87.74
"signal processing, iot, vlsi design, machine learning",1.3,7.73,smart home automation,85.0
"embedded systems, python, machine learning, iot",2.7,8.01,fpga based design,100.0
"verilog, embedded systems, machine learning",2.2,7.47,fpga based design,87.59
"python, verilog",2.6,7.91,smart home automation,100.0
"matlab, pcb design",2.1,7.65,wireless communication model,100.0
"iot, matlab, c programming",2.1,7.46,robotics arm,82.94
"embedded systems, python, machine learning, pcb design, signal processing",2.9,7.24,wireless communication model,86.49
"embedded systems, python, machine learning, vlsi design",2.6,8.11,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",3.1,9.56,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design, c programming",2.3,7.87,wireless communication model,100.0
